banda,situacion,n_en_la_banda,pertinencia,titulo,JUICIO_MANUAL
0.20-0.30,claramente por debajo,2169,0.21,An Autoencoder-Based Deep Compression Framework for LiDAR Data in LAS Format,
0.20-0.30,claramente por debajo,2169,0.227,Heat exchanger design for autothermal reforming of diesel,
0.20-0.30,claramente por debajo,2169,0.228,Safety Positioning for UAV Swarms in Harsh Environments,
0.20-0.30,claramente por debajo,2169,0.238,Air Quality and Agriculture: Predictive Deep Learning for Pollution-Resilient Crop Sustainability,
0.20-0.30,claramente por debajo,2169,0.246,Safe Reinforcement Learning with Risk Probability Prediction for Autonomous Vehicle Platooning,
0.20-0.30,claramente por debajo,2169,0.247,Research on the architecture of automatic train supervision based on cloud platforms,
0.20-0.30,claramente por debajo,2169,0.255,Study on the continuous running automation control mode of the double-layer subsurface-flow snow melting system based on the interaction mechanism of electronic sensor,
0.20-0.30,claramente por debajo,2169,0.263,Multirotor noise control using synchrophasing under nonstationary conditions,
0.20-0.30,claramente por debajo,2169,0.283,"Model Identification, Dynamic Positioning, and Thrust Allocation System for the milliAmpere1 Autonomous Ferry Prototype: Field Trial Results",
0.20-0.30,claramente por debajo,2169,0.292,Nationwide Indoor-Outdoor Exchange and Health Risks of Organophosphate Esters in China,
0.20-0.30,claramente por debajo,2169,0.293,Active legibility in multiagent reinforcement learning,
0.20-0.30,claramente por debajo,2169,0.296,Autonomous On-ramp Merge Strategy Using Deep Reinforcement Learning in Uncertain Highway Environment,
0.32-0.35,justo por debajo del corte,2042,0.321,Forecasting Urban Sensory Values through Learning Attention-adjusted Graph Spatio-temporal Networks,
0.32-0.35,justo por debajo del corte,2042,0.321,Automatic helmet-wearing detection for law enforcement using CCTV cameras,
0.32-0.35,justo por debajo del corte,2042,0.328,Phytoremediation as a potential technique for vehicle hazardous pollutants around highways,
0.32-0.35,justo por debajo del corte,2042,0.329,Removal and reconstructio of existing piers under long-term temporary support under traffic service,
0.32-0.35,justo por debajo del corte,2042,0.33,A Comparative Performance Analysis of Deep Learning-Based Motorcycle Tracking Models at Urban Intersections: A Vietnamese Case Study,
0.32-0.35,justo por debajo del corte,2042,0.331,Lane-Changing Maneuver Prediction With Urban Arterial Traffic Data From Drones,
0.32-0.35,justo por debajo del corte,2042,0.331,Review of Methods for Buildings Energy Performance Modelling,
